"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","MXN","Mexican Peso","6","Millions",,,17209663,,
"IDN","Indonesia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,5.024665,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.341448,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","KRW","Won","6","Millions",,,1486079300,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.905794,"E","Estimated value"
"SVN","Slovenia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.048328,,
"OTF","OECD - FORMER TOTAL","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.855039,"E","Estimated value"
"SWE","Sweden","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.266978,,
"USA","United States","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","USD","US Dollar","6","Millions",,,17348071.5,,
"LVA","Latvia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,23580.868,,
"EU28","European Union (28 countries)","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,13957518.8616,,
"EU28","European Union (28 countries)","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.355516,,
"SWE","Sweden","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","SEK","Swedish Krona","6","Millions",,,3918199,,
"NOR","Norway","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","NOK","Norwegian Krone","6","Millions",,,3154104,,
"TUR","Turkey","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","TRY","Turkish Lira","6","Millions",,,1747362.376,,
"LVA","Latvia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.359205,,
"LTU","Lithuania","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,36444.3624,,
"LTU","Lithuania","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.03247,,
"SAU","Saudi Arabia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","SAR","Saudi Riyal","6","Millions",,,2826868.6451,,
"SAU","Saudi Arabia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.638678,,
"ARG","Argentina","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","ARS","Argentine Peso","6","Millions",,,4608744.9826,,
"ARG","Argentina","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,-2.558477,,
"CRI","Costa Rica","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CRC","Costa Rican Colon","6","Millions",,,26731324.6871,"E","Estimated value"
"CRI","Costa Rica","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.962007,"E","Estimated value"
